,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2012-01-02,81900,82900,78300,79300,275653,21846528900,-2.58,-260822300.0,-44798500.0,3292146200.0,-2986525400.0,5578.0,275653.0,2.02,A033780
1,2012-01-03,78800,82800,78800,82800,288367,23567828500,4.41,2989826500.0,-40650000.0,-8369399200.0,5420222700.0,32813.0,288367.0,11.38,A033780
2,2012-01-04,83900,83900,82000,83200,242554,20143864000,0.48,-3213040200.0,-100404000.0,-2962251500.0,6275695700.0,21782.0,242554.0,8.98,A033780
3,2012-01-05,83800,83800,81200,83200,284285,23393724000,0.0,1408015400.0,3364100.0,-446786600.0,-964592900.0,17107.0,284285.0,6.02,A033780
4,2012-01-06,81100,82000,79400,80400,310853,24927188900,-3.37,-3059519100.0,18679800.0,5493804800.0,-2452965500.0,37868.0,310853.0,12.18,A033780
5,2012-01-09,80000,80000,76600,77300,401426,31119906100,-3.86,1887882000.0,52798300.0,5759349500.0,-7700029800.0,60014.0,401426.0,14.95,A033780
6,2012-01-10,77900,79500,77700,78300,414022,32503740000,1.29,6329234600.0,-206575800.0,-2846737600.0,-3275921200.0,30520.0,414022.0,7.37,A033780
7,2012-01-11,78000,78300,75000,75700,544426,41184931220,-3.32,4043313400.0,-98043900.0,4393241600.0,-8338511100.0,19681.0,544426.0,3.62,A033780
8,2012-01-12,74200,75600,74100,74800,802308,60084746330,-1.19,7570548400.0,-133793500.0,3885858000.0,-11322612900.0,6171.0,802308.0,0.77,A033780
9,2012-01-13,75700,76800,74400,75600,390438,29480767800,1.07,-467308800.0,75627900.0,1706105600.0,-1314424700.0,8450.0,390438.0,2.16,A033780
10,2012-01-16,75600,76000,74000,74900,276835,20700069600,-0.93,3037801600.0,72401300.0,1683773500.0,-4793976400.0,1328.0,276835.0,0.48,A033780
11,2012-01-17,75900,76300,74300,74900,412186,31050753800,0.0,1520037700.0,4004600.0,811785400.0,-2335827700.0,56509.0,412186.0,13.71,A033780
12,2012-01-18,75600,75700,72900,74000,656279,48356788000,-1.2,2315659300.0,111508200.0,4356123700.0,-6783291200.0,36856.0,656279.0,5.62,A033780
13,2012-01-19,73400,74200,72000,72100,809568,58781177600,-2.57,10284662600.0,99089300.0,8773833600.0,-19157585500.0,71117.0,809568.0,8.78,A033780
14,2012-01-20,71000,73900,70200,73700,927790,66298313900,2.22,-281821800.0,-4450000.0,-2435059100.0,2721330900.0,447.0,927790.0,0.05,A033780
15,2012-01-25,75000,75000,72500,72800,693318,50702494304,-1.22,618402500.0,23086000.0,4131554600.0,-4773043100.0,125612.0,693318.0,18.12,A033780
16,2012-01-26,72700,74800,72700,73200,779740,57305052200,0.55,10707426500.0,778404500.0,366285900.0,-11852116900.0,129462.0,779740.0,16.6,A033780
17,2012-01-27,73500,75800,73000,74600,1177252,88312619600,1.91,40176215100.0,401347800.0,-5806982100.0,-34770580800.0,17523.0,1177252.0,1.49,A033780
18,2012-01-30,75400,78300,74500,76700,971451,74717859600,2.82,6799723700.0,1362397300.0,-6295550900.0,-1866570100.0,44628.0,971451.0,4.59,A033780
19,2012-01-31,78100,79500,77000,78600,1002967,78307723400,2.48,-1122236700.0,-171204600.0,-5050875100.0,6344316400.0,45467.0,1002967.0,4.53,A033780
20,2012-02-01,78600,78600,77000,77700,527976,41082077400,-1.15,-6531742900.0,45817800.0,-1297338000.0,7783263100.0,51493.0,527976.0,9.75,A033780
21,2012-02-02,77600,78700,77200,78100,436653,34060971100,0.51,-15018921800.0,0.0,-1014142600.0,16033064400.0,29762.0,436653.0,6.82,A033780
22,2012-02-03,77400,78100,74900,75300,416203,31759977300,-3.59,2431608100.0,21192500.0,2288097800.0,-4740898400.0,5982.0,416203.0,1.44,A033780
23,2012-02-06,76000,77500,75300,77100,566057,43148704300,2.39,1068386300.0,-537252500.0,-1952221600.0,1421087800.0,79174.0,566057.0,13.99,A033780
24,2012-02-07,78000,78200,76000,77200,277692,21405659100,0.13,-1214667100.0,32727500.0,-753954800.0,1935894400.0,23023.0,277692.0,8.29,A033780
25,2012-02-08,76900,77800,75000,76200,516745,39137326800,-1.3,-16787138600.0,-152660300.0,2925922100.0,14013876800.0,12126.0,516745.0,2.35,A033780
26,2012-02-09,76600,76700,72100,74300,869077,63595555700,-2.49,-20814543900.0,-45472100.0,12996984400.0,7863031600.0,41401.0,869077.0,4.76,A033780
27,2012-02-10,72800,73200,72200,72800,594243,43199644100,-2.02,1261880700.0,-695669200.0,9112579900.0,-9678791400.0,8634.0,594243.0,1.45,A033780
28,2012-02-13,73400,73900,72200,72300,477199,34769607800,-0.69,7237102900.0,-78515000.0,4612941600.0,-11771529500.0,41768.0,477199.0,8.75,A033780
29,2012-02-14,72300,73000,72100,72700,435325,31612947200,0.55,3933165100.0,-4428600.0,1241424300.0,-5170160800.0,6167.0,435325.0,1.42,A033780
30,2012-02-15,72500,73300,72300,72600,323118,23483882600,-0.14,4376205900.0,263017200.0,2634168900.0,-7273392000.0,17172.0,323118.0,5.31,A033780
31,2012-02-16,72200,74400,71700,73500,609873,44822062800,1.24,13948082900.0,57087000.0,-4104294000.0,-9900875900.0,109.0,609873.0,0.02,A033780
32,2012-02-17,74200,76100,73700,75500,635755,47812769300,2.72,7162759400.0,-50984800.0,-12251266200.0,5139491600.0,6288.0,635755.0,0.99,A033780
33,2012-02-20,75400,76500,74800,76100,521559,35740618500,0.79,1731368300.0,-7592000.0,-4578646600.0,2854870300.0,7725.0,521559.0,1.48,A033780
34,2012-02-21,75500,76900,74300,76900,432353,32621362800,1.05,7340501800.0,-481027100.0,-2363372400.0,-4496102300.0,19614.0,432353.0,4.54,A033780
35,2012-02-22,76700,77900,75700,77900,263523,20319381100,1.3,2047267700.0,-65337400.0,-5921349100.0,3939418800.0,32419.0,263523.0,12.3,A033780
36,2012-02-23,78000,78000,76200,76800,218674,16850604800,-1.41,1356916900.0,719852700.0,2364923400.0,-4441693000.0,30111.0,218674.0,13.77,A033780
37,2012-02-24,76600,76700,74900,76000,226049,17108050100,-1.04,2259607000.0,-765000.0,902252100.0,-3161094100.0,19879.0,226049.0,8.79,A033780
38,2012-02-27,76900,76900,73500,74100,284326,21158311900,-2.5,2793965700.0,-155573500.0,1710903900.0,-4349296100.0,1420.0,284326.0,0.5,A033780
39,2012-02-28,73600,74400,72700,73100,382957,28017102300,-1.35,711728800.0,17690200.0,4634537600.0,-5363956600.0,6184.0,382957.0,1.61,A033780
40,2012-02-29,73500,74700,72300,73200,558220,40738272300,0.14,-5226670800.0,80002500.0,9856938300.0,-4710270000.0,11777.0,558220.0,2.11,A033780
41,2012-03-02,73500,73900,72300,72600,538941,39215386200,-0.82,-2201272000.0,64830000.0,11062382500.0,-8925940500.0,1557.0,538941.0,0.29,A033780
42,2012-03-05,72200,72500,70400,71000,813861,58017267400,-2.2,8127114100.0,689039100.0,10636008200.0,-19452161400.0,30.0,813861.0,0.0,A033780
43,2012-03-06,71600,72700,70900,71400,632941,45369592500,0.56,11931568500.0,948062200.0,3666227100.0,-16545857800.0,5.0,632941.0,0.0,A033780
44,2012-03-07,72000,73800,71200,73800,612186,44578221700,3.36,-3052943900.0,645653300.0,-11975936200.0,14383226800.0,51732.0,612186.0,8.45,A033780
45,2012-03-08,74400,74400,72000,72200,687273,50044850800,-2.17,2962667200.0,447374200.0,3203641800.0,-6613683200.0,30418.0,687273.0,4.43,A033780
46,2012-03-09,72800,72800,70500,71000,639603,45508198203,-1.66,537436200.0,1177233500.0,15713512100.0,-17428181800.0,4145.0,639603.0,0.65,A033780
47,2012-03-12,71200,73200,70200,72500,608356,43591360500,2.11,6688609800.0,369115300.0,-7996523800.0,938798700.0,16065.0,608356.0,2.64,A033780
48,2012-03-13,72500,73600,72400,72800,505346,36843282000,0.41,6826266200.0,-102863500.0,-4600735800.0,-2122666900.0,8005.0,505346.0,1.58,A033780
49,2012-03-14,74000,74100,72400,72400,563087,41160716200,-0.55,1851949400.0,-81776200.0,-1829602900.0,59429700.0,11964.0,563087.0,2.12,A033780
50,2012-03-15,73000,73500,72400,73300,332158,24288504600,1.24,5305142900.0,-5872000.0,-4721592800.0,-577678100.0,2923.0,332158.0,0.88,A033780
51,2012-03-16,73700,75100,73200,74600,454321,33798055200,1.77,15275647100.0,-46197600.0,-14067674800.0,-1161774700.0,10644.0,454321.0,2.34,A033780
52,2012-03-19,75300,75300,74100,74800,204443,15268291700,0.27,4261368200.0,13005400.0,-2195307300.0,-2079066300.0,17302.0,204443.0,8.46,A033780
53,2012-03-20,74800,75000,73200,74900,299782,22250366100,0.13,2146428400.0,-5929700.0,-2340939400.0,200440700.0,15760.0,299782.0,5.26,A033780
54,2012-03-21,75000,75300,73000,73100,349177,25685474500,-2.4,2309680100.0,-8982800.0,3265587200.0,-5566284500.0,12833.0,349177.0,3.68,A033780
55,2012-03-22,73100,74500,73100,73700,346124,25529453900,0.82,8708673500.0,38440900.0,-3315909200.0,-5431205200.0,2450.0,346124.0,0.71,A033780
56,2012-03-23,73600,74200,73100,73200,315934,23297130400,-0.68,5302815400.0,223492600.0,166560700.0,-5692868700.0,2331.0,315934.0,0.74,A033780
57,2012-03-26,73900,74400,72500,73000,306702,22476280200,-0.27,-2182625700.0,-179571100.0,-1043062200.0,3405259000.0,1863.0,306702.0,0.61,A033780
58,2012-03-27,74000,76000,73100,76000,449643,33585226400,4.11,-601538800.0,157181000.0,-10710926900.0,11155284700.0,28235.0,449643.0,6.28,A033780
59,2012-03-28,76000,77900,75500,77500,648272,50004801200,1.97,8133686700.0,-798372500.0,-13537714000.0,6202399800.0,21082.0,648272.0,3.25,A033780
60,2012-03-29,77800,78600,75700,78400,441876,34425236000,1.16,-4435086000.0,770352200.0,-7079879500.0,10744613300.0,79407.0,441876.0,17.97,A033780
61,2012-03-30,79100,80400,77900,80400,668246,53128947100,2.55,-8959643600.0,-436911900.0,-10025352500.0,19421908000.0,58224.0,668246.0,8.71,A033780
62,2012-04-02,79000,79500,76900,77900,316151,24548343100,-3.11,-1759276200.0,-268334400.0,2001860500.0,25750100.0,36707.0,316151.0,11.61,A033780
63,2012-04-03,79300,79400,76100,76100,312837,24205784800,-2.31,208439100.0,-931200.0,1480651400.0,-1688159300.0,6572.0,312837.0,2.1,A033780
64,2012-04-04,76200,80000,76100,77800,563388,44067347400,2.23,-3912483900.0,141492600.0,-3910508800.0,7681500100.0,78678.0,563388.0,13.97,A033780
65,2012-04-05,80000,80400,79200,80000,540001,43171822700,2.83,-9522056900.0,4048000.0,-6019823500.0,15537832400.0,63374.0,540001.0,11.74,A033780
66,2012-04-06,80400,80400,78000,78000,228862,18075036600,-2.5,-4400784800.0,0.0,741205600.0,3659579200.0,10235.0,228862.0,4.47,A033780
67,2012-04-09,78400,79700,76700,79300,217003,17059471700,1.67,-1329592000.0,21882600.0,-814953900.0,2122663300.0,4468.0,217003.0,2.06,A033780
68,2012-04-10,79900,80000,77800,80000,299009,23632294300,0.88,-1219788400.0,126514600.0,-1978726300.0,3072000100.0,28084.0,299009.0,9.39,A033780
69,2012-04-12,79200,79900,77200,79800,449906,35531314200,-0.25,-1697040500.0,-99865900.0,-78756200.0,1875662600.0,27352.0,449906.0,6.08,A033780
70,2012-04-13,77800,79000,76100,76900,627784,48371989600,-3.63,-3009606800.0,-410339800.0,8702395500.0,-5282448900.0,118984.0,627784.0,18.95,A033780
71,2012-04-16,77500,78500,76400,77700,328340,25428776400,1.04,-4651979600.0,0.0,-1998662500.0,6650642100.0,28150.0,328340.0,8.57,A033780
72,2012-04-17,77500,78900,77100,78900,247806,19390943300,1.54,4758225900.0,33551100.0,-3125246700.0,-1666530300.0,61898.0,247806.0,24.98,A033780
73,2012-04-18,78300,79500,77700,77900,460548,36125729200,-1.27,-2302102700.0,-278735700.0,710923500.0,1869914900.0,82973.0,460548.0,18.02,A033780
74,2012-04-19,79000,79500,77800,79500,390171,30710009900,2.05,-6665964200.0,-243523100.0,-2234894500.0,9144381800.0,16127.0,390171.0,4.13,A033780
75,2012-04-20,80000,80000,79100,79400,152375,12118753800,-0.13,-487610900.0,-170588100.0,-1644948500.0,2303147500.0,6723.0,152375.0,4.41,A033780
76,2012-04-23,80000,80000,77300,79700,272422,21432134000,0.38,-6196093000.0,41694500.0,-776543200.0,6930941700.0,6865.0,272422.0,2.52,A033780
77,2012-04-24,79900,79900,78200,79600,255405,20192016100,-0.13,-7068516700.0,50109200.0,-1254593300.0,8273000800.0,16096.0,255405.0,6.3,A033780
78,2012-04-25,79000,79400,78500,79300,224536,17701626600,-0.38,486561500.0,-88580000.0,-170900200.0,-227081300.0,43191.0,224536.0,19.24,A033780
79,2012-04-26,77900,80000,77600,80000,321364,25385222600,0.88,7566022100.0,536029500.0,-843796900.0,-7258254700.0,23030.0,321364.0,7.17,A033780
80,2012-04-27,79000,79900,78000,78200,266746,20938875400,-2.25,-2279627700.0,231872200.0,3284849200.0,-1237093700.0,10481.0,266746.0,3.93,A033780
81,2012-04-30,78900,78900,77000,77600,236258,18357161900,-0.77,-3696009600.0,-159682500.0,272617000.0,3583075100.0,181.0,236258.0,0.08,A033780
82,2012-05-02,79500,80000,79200,79200,341667,27172934500,2.06,-8300466400.0,-3980000.0,-5666433000.0,13970879400.0,20126.0,341667.0,5.89,A033780
83,2012-05-03,79700,80200,79000,80000,194301,15503834800,1.01,-1854741500.0,3196000.0,-2362149600.0,4213695100.0,10643.0,194301.0,5.48,A033780
84,2012-05-04,80000,80200,78300,79800,246758,19586643900,-0.25,923485200.0,208500.0,-176587000.0,-747106700.0,3169.0,246758.0,1.28,A033780
85,2012-05-07,80100,81700,78500,78500,347313,27704593200,-1.63,1069256700.0,-255441000.0,268134900.0,-1081950600.0,22912.0,347313.0,6.6,A033780
86,2012-05-08,78500,79900,77900,79700,238587,18955288300,1.53,-2875013300.0,-163300300.0,-1669443300.0,4707756900.0,13807.0,238587.0,5.79,A033780
87,2012-05-09,80500,80500,78300,78500,202074,15989169600,-1.51,1879226800.0,762321900.0,1048735300.0,-3690284000.0,18594.0,202074.0,9.2,A033780
88,2012-05-10,80000,80400,79100,79900,308857,24636827400,1.78,-4892243700.0,-86956600.0,-2397893200.0,7377093500.0,27213.0,308857.0,8.81,A033780
89,2012-05-11,79900,80100,78400,79400,193868,15354727100,-0.63,1751433900.0,34143300.0,-18249100.0,-1767328100.0,3488.0,193868.0,1.8,A033780
90,2012-05-14,79900,79900,78100,78300,162073,12771336900,-1.39,-1961501800.0,-59445100.0,2060496300.0,-39549400.0,7069.0,162073.0,4.36,A033780
91,2012-05-15,77600,79600,77500,79200,364740,28855325600,1.15,-1722055400.0,-90757800.0,-2093062600.0,3905875800.0,24893.0,364740.0,6.82,A033780
92,2012-05-16,79800,79800,78600,78600,368838,29220286700,-0.76,-3699414300.0,-252898000.0,-413546500.0,4365858800.0,20134.0,368838.0,5.46,A033780
93,2012-05-17,78100,78800,76000,77200,381591,29426741100,-1.78,-7610925200.0,20925900.0,5010047700.0,2579951600.0,6806.0,381591.0,1.78,A033780
94,2012-05-18,77800,78000,74500,75500,441046,33495683900,-2.2,-7657586400.0,-221578100.0,3677739000.0,4201425500.0,12255.0,441046.0,2.78,A033780
95,2012-05-21,75000,75800,74100,75000,224859,16863959100,-0.66,-2091832300.0,3755000.0,-364002600.0,2452079900.0,670.0,224859.0,0.3,A033780
96,2012-05-22,75900,76600,74000,76300,334933,25245817900,1.73,-3089337000.0,-116249600.0,-888246200.0,4093832800.0,27690.0,334933.0,8.27,A033780
97,2012-05-23,76300,76500,73900,76200,340364,25606789900,-0.13,6375239400.0,14818300.0,-163946400.0,-6226111300.0,6649.0,340364.0,1.95,A033780
98,2012-05-24,76500,77100,75500,77100,180547,13782030200,1.18,2571477700.0,-15300000.0,-1320628200.0,-1235549500.0,677.0,180547.0,0.37,A033780
99,2012-05-25,77800,77800,75200,75700,227162,17251666600,-1.82,-4403671500.0,0.0,2838214600.0,1565456900.0,1534.0,227162.0,0.68,A033780
100,2012-05-29,76300,77000,75700,76100,158146,12079832700,0.53,-389307800.0,21089800.0,-1923328200.0,2291546200.0,8445.0,158146.0,5.34,A033780
101,2012-05-30,76700,76700,75000,76600,298636,22641203000,0.66,-6226387500.0,3890800.0,622556200.0,5599940500.0,12583.0,298636.0,4.21,A033780
102,2012-05-31,76500,78600,75600,78600,439545,34300748300,2.61,-4357642900.0,51633500.0,-4800135400.0,9106144800.0,16137.0,439545.0,3.67,A033780
103,2012-06-01,80700,80700,78300,79800,290331,23040907700,1.53,335909900.0,-1896000.0,-2606108800.0,2272094900.0,30641.0,290331.0,10.55,A033780
104,2012-06-04,78000,81900,77500,81700,590679,47669040500,2.38,17702967500.0,-10493400.0,-14695433800.0,-2997040300.0,57461.0,590679.0,9.73,A033780
105,2012-06-05,82000,82600,80700,81100,272244,22125162700,-0.73,5148811800.0,38047000.0,-2512280300.0,-2674578500.0,34578.0,272244.0,12.7,A033780
106,2012-06-07,81200,81400,79700,80900,572100,45955397900,-0.25,1045561800.0,708825200.0,862147300.0,-2616534300.0,110666.0,572100.0,19.34,A033780
107,2012-06-08,82500,82500,79700,80100,378352,30425617500,-0.99,-9607687900.0,-36574600.0,1021164200.0,8623098300.0,12614.0,378352.0,3.33,A033780
108,2012-06-11,80200,80900,78800,79600,266311,21187690200,-0.62,-7624253900.0,-27488000.0,485015300.0,7166726600.0,5112.0,266311.0,1.92,A033780
109,2012-06-12,79000,79600,78200,78700,296406,23368580400,-1.13,336407600.0,-230366000.0,2172561200.0,-2278602800.0,1939.0,296406.0,0.65,A033780
110,2012-06-13,78500,79100,78300,78700,245672,19324574300,0.0,-790699200.0,-63417000.0,946629900.0,-92513700.0,20045.0,245672.0,8.16,A033780
111,2012-06-14,78400,79100,78000,78700,434354,34095648800,0.0,-448850700.0,41758300.0,12392100.0,394700300.0,67856.0,434354.0,15.62,A033780
112,2012-06-15,79000,80600,78600,79100,567454,45097359100,0.51,9419985100.0,-27860000.0,-4017057600.0,-5375067500.0,9241.0,567454.0,1.63,A033780
113,2012-06-18,79700,81500,78900,81400,416689,33479877100,2.91,-697166500.0,-417810900.0,-3383617500.0,4498594900.0,59420.0,416689.0,14.26,A033780
114,2012-06-19,82300,82300,79500,79700,279460,22415144200,-2.09,-7759005900.0,8842500.0,2386700600.0,5363462800.0,5276.0,279460.0,1.89,A033780
115,2012-06-20,79200,79900,77900,79600,351326,27710287700,-0.13,-1790882100.0,744858300.0,3356010000.0,-2309986200.0,948.0,351326.0,0.27,A033780
116,2012-06-21,79700,80700,79100,79600,263532,21041835200,0.0,-4426611800.0,10439000.0,-2898962300.0,7315135100.0,6396.0,263532.0,2.43,A033780
117,2012-06-22,79700,80100,78500,78900,231576,18318514700,-0.88,-8752429000.0,-85366700.0,952509200.0,7885286500.0,88.0,231576.0,0.04,A033780
118,2012-06-25,79200,81800,78500,80900,367058,29488340600,2.53,-8003070100.0,-214895800.0,-5077743200.0,13295709100.0,27516.0,367058.0,7.5,A033780
119,2012-06-26,80400,80400,78400,78400,333420,26334932940,-3.09,229334000.0,96064200.0,5000764000.0,-5326162200.0,8931.0,333420.0,2.68,A033780
120,2012-06-27,78400,79700,77700,79300,272770,21554533100,1.15,-5390676700.0,0.0,-1938414700.0,7329091400.0,1130.0,272770.0,0.41,A033780
121,2012-06-28,78600,79600,78200,78600,143585,11321697800,-0.88,1456878000.0,224604900.0,443801900.0,-2125284800.0,484.0,143585.0,0.34,A033780
122,2012-06-29,80000,81200,79200,81200,412548,33149387249,3.31,-2357232000.0,-31716200.0,-5531593000.0,7920541200.0,41871.0,412548.0,10.15,A033780
123,2012-07-02,81500,81500,80100,81000,326984,26441574800,-0.25,-5307312400.0,-51224700.0,-1261263200.0,6619800300.0,11273.0,326984.0,3.45,A033780
124,2012-07-03,81000,81400,80500,80800,380104,30770167809,-0.25,-1886197600.0,-61295300.0,-1081804800.0,3029297700.0,31.0,380104.0,0.01,A033780
125,2012-07-04,80000,80800,78600,78700,361054,28508845700,-2.6,-6957475800.0,-17406500.0,6192464300.0,782418000.0,15906.0,361054.0,4.41,A033780
126,2012-07-05,78900,79800,78700,79800,188276,14904221500,1.4,-1715018900.0,30023700.0,-1106360200.0,2791355400.0,5357.0,188276.0,2.85,A033780
127,2012-07-06,80300,80600,79200,80300,170440,13644151900,0.63,-3850668300.0,-15082800.0,-2767949500.0,6633700600.0,5753.0,170440.0,3.38,A033780
128,2012-07-09,80300,81400,79500,81400,250350,20238731100,1.37,801383900.0,-51853700.0,-3682784600.0,2933254400.0,30202.0,250350.0,12.06,A033780
129,2012-07-10,82500,84100,81600,83900,401165,33315204900,3.07,-2820291500.0,-351366000.0,-9904987200.0,13076644700.0,86694.0,401165.0,21.61,A033780
130,2012-07-11,84400,84900,82800,84000,285707,24056863800,0.12,2800783400.0,-479347500.0,-4739243200.0,2417807300.0,22302.0,285707.0,7.81,A033780
131,2012-07-12,84000,88000,83300,87200,634201,54735145200,3.81,-66571100.0,-573886800.0,-8674417100.0,9314875000.0,74930.0,634201.0,11.81,A033780
132,2012-07-13,87900,87900,84400,84500,409800,35123360200,-3.1,3773309700.0,-174898300.0,1016460500.0,-4614871900.0,56613.0,409800.0,13.81,A033780
133,2012-07-16,83500,85300,83400,84200,218823,18454005400,-0.36,-1156490100.0,-73268800.0,88103500.0,1141655400.0,13038.0,218823.0,5.96,A033780
134,2012-07-17,84600,85100,82200,82500,293844,24582376000,-2.02,3527858000.0,-271689200.0,886498200.0,-4142667000.0,13997.0,293844.0,4.76,A033780
135,2012-07-18,81800,84200,81700,82900,237683,19729672900,0.48,3436679900.0,130041300.0,339864900.0,-3906586100.0,29923.0,237683.0,12.59,A033780
136,2012-07-19,83900,85500,82800,84600,205886,17395509700,2.05,4882111800.0,-51425900.0,-2970159000.0,-1860526900.0,15530.0,205886.0,7.54,A033780
137,2012-07-20,85400,85400,82700,83400,191432,16013724700,-1.42,-6853129400.0,77930000.0,334233800.0,6440965600.0,10393.0,191432.0,5.43,A033780
138,2012-07-23,83400,84700,82600,83900,136227,11388947200,0.6,1008690800.0,28393500.0,-629941700.0,-407142600.0,5921.0,136227.0,4.35,A033780
139,2012-07-24,84900,85900,83900,85100,208738,17789885400,1.43,2188095800.0,-56392400.0,-1776679900.0,-355023500.0,25268.0,208738.0,12.11,A033780
140,2012-07-25,83600,84900,82100,83100,334962,27742129100,-2.35,8146034500.0,43104500.0,2680767600.0,-10869906600.0,24248.0,334962.0,7.24,A033780
141,2012-07-26,81600,82900,81300,82100,302368,24817837270,-1.2,-570015900.0,-99269300.0,635409300.0,33875900.0,3017.0,302368.0,1.0,A033780
142,2012-07-27,83000,83000,81000,82600,293948,24050034552,0.61,5577428400.0,38561500.0,2104555500.0,-7720545400.0,5989.0,293948.0,2.04,A033780
143,2012-07-30,82900,82900,81700,82500,231955,19080479100,-0.12,-751070600.0,-58080400.0,-328443000.0,1137594000.0,27481.0,231955.0,11.85,A033780
144,2012-07-31,82500,85500,81800,83300,333476,27892448900,0.97,6746012300.0,-45681500.0,-3196190900.0,-3504139900.0,29341.0,333476.0,8.8,A033780
145,2012-08-01,83000,85300,83000,84400,210485,17809720200,1.32,5519833100.0,-92255400.0,-2473919200.0,-2953658500.0,7918.0,210485.0,3.76,A033780
146,2012-08-02,84000,84800,83500,84400,162753,13690621500,0.0,6481881300.0,61174000.0,4124800.0,-6547180100.0,3787.0,162753.0,2.33,A033780
147,2012-08-03,83700,84400,82600,82900,263790,21978296200,-1.78,1250326300.0,8478200.0,1655263000.0,-2914067500.0,3245.0,263790.0,1.23,A033780
148,2012-08-06,82900,84400,82600,84400,215709,17977369300,1.81,-1550242800.0,112411800.0,-1099590700.0,2537421700.0,18895.0,215709.0,8.76,A033780
149,2012-08-07,83400,83800,82500,82600,288965,23966955900,-2.13,1672624000.0,-73724700.0,2975303500.0,-4574202800.0,3079.0,288965.0,1.07,A033780
150,2012-08-08,82500,83400,82400,82900,388896,32225723900,0.36,3268168200.0,-43813700.0,304088900.0,-3528443400.0,2081.0,388896.0,0.54,A033780
151,2012-08-09,83000,84500,82600,83200,659506,54976504100,0.36,991980600.0,214523000.0,-962568500.0,-243935100.0,10105.0,659506.0,1.53,A033780
152,2012-08-10,83400,84500,83400,83900,281117,23577746600,0.84,881114100.0,1342400.0,-1293342700.0,410886200.0,2062.0,281117.0,0.73,A033780
153,2012-08-13,83900,85200,83900,85100,190157,16157262900,1.43,3027920700.0,0.0,-2489163500.0,-538757200.0,9948.0,190157.0,5.23,A033780
154,2012-08-14,85800,87500,84300,87200,366299,31699866800,2.47,-1164235600.0,-29546000.0,-5110584900.0,6304366500.0,28940.0,366299.0,7.9,A033780
155,2012-08-16,86100,87200,85900,86900,288376,25020430321,-0.34,960549100.0,0.0,-1020736000.0,60186900.0,20685.0,288376.0,7.17,A033780
156,2012-08-17,86400,87200,84400,84600,361166,30765846900,-2.65,11452151100.0,94127000.0,4365732100.0,-15912010200.0,4176.0,361166.0,1.16,A033780
157,2012-08-20,85100,86500,84700,86000,216138,18575610800,1.65,5561023000.0,113999800.0,-3227973700.0,-2447049100.0,13665.0,216138.0,6.32,A033780
158,2012-08-21,86800,87100,85800,86100,194985,16873318400,0.12,1798711100.0,41022000.0,-1128222300.0,-711510800.0,6208.0,194985.0,3.18,A033780
159,2012-08-22,85700,86800,85300,85700,180244,15523925800,-0.46,2316496700.0,343200.0,-146925100.0,-2169914800.0,24705.0,180244.0,13.71,A033780
160,2012-08-23,86400,86800,85700,86400,131967,11390186400,0.82,1356191100.0,36589500.0,-259893700.0,-1132886900.0,21785.0,131967.0,16.51,A033780
161,2012-08-24,86700,86700,85000,85000,159148,13631609600,-1.62,2764043300.0,-6034000.0,3067194200.0,-5825203500.0,6524.0,159148.0,4.1,A033780
162,2012-08-27,85400,87500,85300,87100,350911,30531852900,2.47,7179798600.0,156446300.0,-5593400500.0,-1742844400.0,16489.0,350911.0,4.7,A033780
163,2012-08-28,86500,87600,86000,86600,113625,9863694800,-0.57,1961678300.0,1041500.0,-285529100.0,-1677190700.0,6633.0,113625.0,5.84,A033780
164,2012-08-29,86600,86800,85400,86700,163093,14070562500,0.12,3407489100.0,-7387400.0,478072600.0,-3878174300.0,10750.0,163093.0,6.59,A033780
165,2012-08-30,86800,87100,85100,86100,238838,20529654700,-0.69,-3734556000.0,4324000.0,869537700.0,2860694300.0,8655.0,238838.0,3.62,A033780
166,2012-08-31,85600,87400,85500,85900,188794,16363683000,-0.23,-1445777600.0,-110947300.0,-762886900.0,2319611800.0,13584.0,188794.0,7.2,A033780
167,2012-09-03,85700,87100,85000,85300,162404,13938505800,-0.7,-684515700.0,-938300.0,1362832700.0,-677378700.0,3304.0,162404.0,2.03,A033780
168,2012-09-04,85200,85900,84700,85100,433991,36930608800,-0.23,-2789857500.0,-1868900.0,2204188900.0,587537500.0,7555.0,433991.0,1.74,A033780
169,2012-09-05,84200,85000,83100,83900,333406,28027571100,-1.41,-288908500.0,144481200.0,2740638000.0,-2596210700.0,4330.0,333406.0,1.3,A033780
170,2012-09-06,83600,85700,82600,85500,330097,27800516800,1.91,4618720900.0,-7961400.0,-1032323500.0,-3578436000.0,13804.0,330097.0,4.18,A033780
171,2012-09-07,85400,86000,84200,85100,566203,48149540650,-0.47,-4687337100.0,-71740900.0,580215000.0,4178863000.0,26570.0,566203.0,4.69,A033780
172,2012-09-10,85200,85700,84000,84600,156668,13288192200,-0.59,-1412357300.0,-853000.0,308389300.0,1104821000.0,5780.0,156668.0,3.69,A033780
173,2012-09-11,84000,85900,83800,85100,179869,15273248100,0.59,518323100.0,0.0,-1053243200.0,534920100.0,31649.0,179869.0,17.6,A033780
