,날짜,시가,고가,저가,종가,거래량,거래대금,등락률,기관합계,기타법인,개인,외국인합계,공매도,매수,비중,종목코드
0,2021-07-16,57000,66700,56900,61000,18438286,1131295199000,7.02,-128769897400.0,-18281502100.0,180440051100.0,-33388651600.0,0.0,18438286.0,0.0,A137310
1,2021-07-19,63700,64800,59100,59100,6549493,402183907400,-3.11,-3899019100.0,-50024190900.0,54020414000.0,-97204000.0,1437.0,6549493.0,0.02,A137310
2,2021-07-20,59300,60200,57100,58400,3464134,202952493700,-1.18,4712412000.0,-11117588300.0,5388532800.0,1016643500.0,6604.0,3464134.0,0.19,A137310
3,2021-07-21,59500,59700,57600,57800,1922552,112537994700,-1.03,-1095435900.0,-499462700.0,-1113670200.0,2708568800.0,1940.0,1922552.0,0.1,A137310
4,2021-07-22,58000,58200,54900,55000,2468489,137924747700,-4.84,-12682671100.0,-3733995800.0,16125521000.0,291145900.0,13.0,2468489.0,0.0,A137310
5,2021-07-23,55700,57200,55200,57000,2080670,117003920400,3.64,4470068800.0,-9900425300.0,1176302100.0,4254054400.0,0.0,2080670.0,0.0,A137310
6,2021-07-26,57500,60200,57300,58900,2544895,150046378100,3.33,2578453500.0,-7569652600.0,5460589200.0,-469390100.0,0.0,2544895.0,0.0,A137310
7,2021-07-27,58900,59000,57300,58000,1132791,65615122200,-1.53,-1838801800.0,-2527853400.0,4492701800.0,-126046600.0,0.0,1132791.0,0.0,A137310
8,2021-07-28,58000,58700,55900,56400,1257765,71650500200,-2.76,-2090361700.0,-3199235300.0,7309274100.0,-2019677100.0,400.0,1257765.0,0.03,A137310
9,2021-07-29,56300,57100,55400,55800,891907,49998788500,-1.06,471097600.0,-4909216100.0,4446003500.0,-7885000.0,48.0,891907.0,0.01,A137310
10,2021-07-30,55700,56700,54900,56400,927191,51540309800,1.08,-1183728000.0,-3450947000.0,4488280300.0,146394700.0,13.0,927191.0,0.0,A137310
11,2021-08-02,56800,57300,55100,55600,802171,44916411400,-1.42,-9435014500.0,92269300.0,9505727200.0,-162982000.0,135.0,802171.0,0.02,A137310
12,2021-08-03,56200,58300,55400,58300,1837231,105159274900,4.86,1506704700.0,-4345200.0,-11183798500.0,9681439000.0,98.0,1837231.0,0.01,A137310
13,2021-08-04,58000,58800,57300,58200,987463,57243689100,-0.17,1672293300.0,628390200.0,-2685520300.0,384836800.0,109.0,987463.0,0.01,A137310
14,2021-08-05,58400,59500,58200,58800,1194360,70290321700,1.03,1181403300.0,-703915000.0,-862565200.0,385076900.0,40.0,1194360.0,0.0,A137310
15,2021-08-06,58900,59000,57600,57900,787883,45789162900,-1.53,401118000.0,-364174200.0,-1598524500.0,1561580700.0,136.0,787883.0,0.02,A137310
16,2021-08-09,58200,58600,57200,58300,814858,47080446000,0.69,1144073500.0,-258212100.0,-1859844600.0,973983200.0,22.0,814858.0,0.0,A137310
17,2021-08-10,58600,64400,58100,61800,5768044,353923608900,6.0,8311271800.0,-11936760700.0,-2173102000.0,5798590900.0,289.0,5768044.0,0.01,A137310
18,2021-08-11,65900,68900,63300,64100,8553666,564766174200,3.72,1830071700.0,-9163650500.0,9286059800.0,-1952481000.0,90.0,8553666.0,0.0,A137310
19,2021-08-12,63600,64400,60400,61200,3023473,186631609700,-4.52,-11032837600.0,-5986825500.0,14443513600.0,2576149500.0,4.0,3023473.0,0.0,A137310
20,2021-08-13,61500,61500,58100,59000,2457781,145959140200,-3.59,-3709215500.0,-4798573900.0,3646622400.0,4861167000.0,10.0,2457781.0,0.0,A137310
21,2021-08-17,58000,59500,55800,56000,2200438,124835325200,-5.08,-21225747400.0,-6392108800.0,25988827200.0,1629029000.0,0.0,2200438.0,0.0,A137310
22,2021-08-18,56000,57700,56000,56200,1691499,95999556300,0.36,-6737619300.0,-7772059100.0,13711019800.0,798658600.0,0.0,1691499.0,0.0,A137310
23,2021-08-19,56500,58000,55400,55500,1780424,100858528800,-1.25,-7415635700.0,-4121591100.0,8778523800.0,2758703000.0,9.0,1780424.0,0.0,A137310
24,2021-08-20,56400,56500,52000,52600,1798054,96574306700,-5.23,-9571695300.0,1410882000.0,8655735100.0,-494921800.0,278.0,1798054.0,0.02,A137310
25,2021-08-23,53100,53300,50200,50800,1096912,56340184500,-3.42,-6116607000.0,-280268200.0,5516862400.0,880012800.0,631.0,1096912.0,0.06,A137310
26,2021-08-24,51200,52800,50700,52400,1879344,97212286300,3.15,-4141952700.0,-8583840600.0,9884646400.0,2841146900.0,0.0,1879344.0,0.0,A137310
27,2021-08-25,52100,52200,50800,51100,838976,43007195100,-2.48,-1139582400.0,-2634729500.0,3805923300.0,-31611400.0,0.0,838976.0,0.0,A137310
28,2021-08-26,51500,52100,51000,51200,775821,39894741800,0.2,154364700.0,-2711424600.0,1692646100.0,864413800.0,0.0,775821.0,0.0,A137310
29,2021-08-27,51200,53400,50700,52800,1353914,71032097300,3.13,2280041900.0,-5456519900.0,1605872400.0,1570605600.0,0.0,1353914.0,0.0,A137310
30,2021-08-30,52800,52900,50500,50700,1061156,54387442500,-3.98,-3856067300.0,-2498878500.0,6958659700.0,-603713900.0,2.0,1061156.0,0.0,A137310
31,2021-08-31,50700,50900,48650,49000,1453218,71450290800,-3.35,-7295735100.0,-219961600.0,6674400900.0,841295800.0,1.0,1453218.0,0.0,A137310
32,2021-09-01,49350,49900,48850,49100,833209,40986056150,0.2,-3292365550.0,-3108115550.0,5345906650.0,1054574450.0,4.0,833209.0,0.0,A137310
33,2021-09-02,49300,49300,46800,46850,1555998,73887415200,-4.58,-3171683100.0,-4802992200.0,8013900700.0,-39225400.0,12.0,1555998.0,0.0,A137310
34,2021-09-03,46750,48450,45550,47150,1625711,76173124450,0.64,-1021884300.0,-369416750.0,1788536100.0,-397235050.0,4.0,1625711.0,0.0,A137310
35,2021-09-06,47200,47350,45950,45950,669914,31043423050,-2.55,-787955700.0,-124594500.0,170361000.0,742189200.0,5.0,669914.0,0.0,A137310
36,2021-09-07,46200,46350,45650,45750,633981,29102708600,-0.44,-354690500.0,-2555325900.0,2411505750.0,498510650.0,6.0,633981.0,0.0,A137310
37,2021-09-08,45750,45750,42500,42700,1730405,75757902950,-6.67,-5877435800.0,-1664472650.0,7006603050.0,535305400.0,3.0,1730405.0,0.0,A137310
38,2021-09-09,42700,43400,41100,41850,1157568,48730835900,-1.99,-455615050.0,-1692923650.0,1471833300.0,676705400.0,2794.0,1157568.0,0.24,A137310
39,2021-09-10,42000,42500,40400,40950,1244395,51869203150,-2.15,-1844697400.0,-134792900.0,522039950.0,1457450350.0,2068.0,1244395.0,0.17,A137310
40,2021-09-13,42950,47150,42550,42800,4298591,192087142450,4.52,-557309600.0,1175626550.0,3162257150.0,-3780574100.0,13.0,4298591.0,0.0,A137310
41,2021-09-14,42900,46750,42900,44600,2570810,115421855250,4.21,-563312650.0,196351000.0,886386450.0,-519424800.0,0.0,2570810.0,0.0,A137310
42,2021-09-15,45500,48450,45200,47900,2387687,112170437400,7.4,2065804350.0,170075800.0,-15784644000.0,13548763850.0,5.0,2387687.0,0.0,A137310
43,2021-09-16,48800,49100,46650,47100,1243170,59127538700,-1.67,4476574300.0,46694850.0,-1789516850.0,-2733752300.0,0.0,1243170.0,0.0,A137310
44,2021-09-17,47150,48700,46450,48250,957692,45924834800,2.44,4139039500.0,27281950.0,-6262227700.0,2095906250.0,253.0,957692.0,0.03,A137310
45,2021-09-23,48100,50600,47750,49900,1499802,74371643950,3.42,-141119950.0,-440795450.0,-11493284150.0,12075199550.0,565.0,1499802.0,0.04,A137310
46,2021-09-24,50400,50400,48250,49350,901914,44338033100,-1.1,5172615150.0,-605506150.0,-3616178900.0,-950930100.0,55.0,901914.0,0.01,A137310
47,2021-09-27,49400,49450,47250,47600,632311,30447321750,-3.55,4685857750.0,-310281950.0,-4889419550.0,513843750.0,90.0,632311.0,0.01,A137310
48,2021-09-28,47300,48000,46700,46700,614506,29049829950,-1.89,3490702250.0,-395331700.0,-3112791200.0,17420650.0,57.0,614506.0,0.01,A137310
49,2021-09-29,45200,45800,44650,45050,602999,27230106150,-3.53,1571532600.0,-39782100.0,-3558589100.0,2026838600.0,226.0,602999.0,0.04,A137310
50,2021-09-30,45350,46750,45000,45150,535177,24459364000,0.22,3639744550.0,-40996750.0,-2865652050.0,-733095750.0,115.0,535177.0,0.02,A137310
51,2021-10-01,44750,46650,43700,44250,805503,36224750000,-1.99,4371212250.0,139687000.0,-3510942250.0,-999957000.0,840.0,805503.0,0.1,A137310
52,2021-10-05,44250,46500,44250,44850,831004,37563049650,1.36,-69686050.0,-266114050.0,-60348100.0,396148200.0,85.0,831004.0,0.01,A137310
53,2021-10-06,45050,45200,42200,42250,586378,25454645050,-5.8,3347733600.0,-27766200.0,-3593031650.0,273064250.0,178.0,586378.0,0.03,A137310
54,2021-10-07,42450,43850,42450,43400,282850,12212633900,2.72,1602919050.0,-6306500.0,-2838219000.0,1241606450.0,519.0,282850.0,0.18,A137310
55,2021-10-08,43950,44550,43300,43700,304061,13344706500,0.69,3495361300.0,-14841650.0,-2657986250.0,-822533400.0,442.0,304061.0,0.15,A137310
56,2021-10-12,43400,44200,42000,43500,289849,12441976100,-0.46,1936373900.0,-40458100.0,-3093373900.0,1197458100.0,37.0,289849.0,0.01,A137310
57,2021-10-13,43500,45000,43400,44500,362972,16063140350,2.3,3270376350.0,19509900.0,-2552882900.0,-737003350.0,13.0,362972.0,0.0,A137310
58,2021-10-14,44800,45750,44300,45700,307927,13940991900,2.7,2992279050.0,-5588150.0,-4384797750.0,1398106850.0,81.0,307927.0,0.03,A137310
59,2021-10-15,46050,46900,45850,46250,355219,16481787550,1.2,2079695450.0,-122935450.0,-2593295950.0,636535950.0,181.0,355219.0,0.05,A137310
60,2021-10-18,46550,46850,45500,45900,531564,24554235350,-0.76,-3467231250.0,26176700.0,-1337738700.0,4778793250.0,4.0,531564.0,0.0,A137310
61,2021-10-19,46000,46800,45950,46400,317182,14722982450,1.09,1102232500.0,-22354200.0,-3234050100.0,2154171800.0,154.0,317182.0,0.05,A137310
62,2021-10-20,46600,47200,46450,46450,249524,11660940950,0.11,1359146950.0,-2331000.0,-559552300.0,-797263650.0,116.0,249524.0,0.05,A137310
63,2021-10-21,46600,46750,45800,45800,230167,10617397750,-1.4,776529450.0,-4137450.0,-1939683550.0,1167291550.0,153.0,230167.0,0.07,A137310
